stock_code,root_name,bucket,source_w,source_h,source_mode,normalized_path,upload_ok,partial_alpha_pct,fully_transparent_pct,fully_opaque_pct,remove_bg_latency_s,action_required,error
199HKG040001,Housekeeping Supplies,B,500,500,RGBA,199HKG040001.webp,True,1.83,86.26,11.92,,PIL-normalized — auto-approve unless visual QA flags.,
000HKG020001,Housekeeping Supplies,B,800,800,RGBA,000HKG020001.webp,True,1.8,59.99,38.21,,PIL-normalized — auto-approve unless visual QA flags.,
001HKG020001,Housekeeping Supplies,C,575,434,RGBA,,,,,,,Source below 500px floor — Lucide fallback at render time. Replace source if branded image needed.,
001HKG020003,Housekeeping Supplies,B,800,800,RGBA,001HKG020003.webp,True,2.97,43.29,53.74,,PIL-normalized — auto-approve unless visual QA flags.,
001HKG030012,Housekeeping Supplies,B,800,800,RGBA,001HKG030012.webp,True,5.51,84.71,9.78,,PIL-normalized — auto-approve unless visual QA flags.,
026HKG020004,Housekeeping Supplies,C,577,433,RGBA,,,,,,,Source below 500px floor — Lucide fallback at render time. Replace source if branded image needed.,
026HKG040024,Housekeeping Supplies,B,500,500,RGBA,026HKG040024.webp,True,2.63,72.99,24.38,,PIL-normalized — auto-approve unless visual QA flags.,
026HKG040025,Housekeeping Supplies,B,800,800,RGBA,026HKG040025.webp,True,1.87,84.73,13.39,,PIL-normalized — auto-approve unless visual QA flags.,
000KSR040009,Kitchen Services,B,800,800,RGBA,000KSR040009.webp,True,1.4,58.79,39.81,,PIL-normalized — auto-approve unless visual QA flags.,
051KSR080021,Kitchen Services,B,500,500,RGBA,051KSR080021.webp,True,1.64,66.29,32.07,,PIL-normalized — auto-approve unless visual QA flags.,
060KSR040002,Kitchen Services,C,400,400,RGBA,,,,,,,Source below 500px floor — Lucide fallback at render time. Replace source if branded image needed.,
051KSR081022,Kitchen Services,C,250,201,RGB,,,,,,,Source below 500px floor — Lucide fallback at render time. Replace source if branded image needed.,
000HKG010003,Kitchen Services,B,800,800,RGBA,000HKG010003.webp,True,1.5,50.52,47.98,,PIL-normalized — auto-approve unless visual QA flags.,
000HKG010004,Kitchen Services,B,800,800,RGBA,000HKG010004.webp,True,1.46,44.1,54.44,,PIL-normalized — auto-approve unless visual QA flags.,
000KSR010001,Kitchen Services,B,600,600,RGBA,000KSR010001.webp,True,1.58,52.07,46.35,,PIL-normalized — auto-approve unless visual QA flags.,
000KSR010002,Kitchen Services,B,600,600,RGBA,000KSR010002.webp,True,1.76,52.04,46.19,,PIL-normalized — auto-approve unless visual QA flags.,
000KSR010004,Kitchen Services,B,600,600,RGBA,000KSR010004.webp,True,1.8,54.43,43.77,,PIL-normalized — auto-approve unless visual QA flags.,
000KSR010005,Kitchen Services,B,600,600,RGBA,000KSR010005.webp,True,1.52,54.11,44.37,,PIL-normalized — auto-approve unless visual QA flags.,
010KUT050175,Kitchen Utensils,B,600,600,RGBA,010KUT050175.webp,True,0.9,87.33,11.77,,PIL-normalized — auto-approve unless visual QA flags.,
010KUT050176,Kitchen Utensils,B,600,600,RGBA,010KUT050176.webp,True,0.9,87.33,11.77,,PIL-normalized — auto-approve unless visual QA flags.,
010KUT050182,Kitchen Utensils,C,483,516,RGBA,,,,,,,Source below 500px floor — Lucide fallback at render time. Replace source if branded image needed.,
011KUT020002,Kitchen Utensils,B,600,600,RGBA,011KUT020002.webp,True,1.1,78.87,20.03,,PIL-normalized — auto-approve unless visual QA flags.,
011KUT020005,Kitchen Utensils,B,600,600,RGBA,011KUT020005.webp,True,1.05,82.21,16.74,,PIL-normalized — auto-approve unless visual QA flags.,
011KUT020006,Kitchen Utensils,B,600,600,RGBA,011KUT020006.webp,True,1.04,77.43,21.54,,PIL-normalized — auto-approve unless visual QA flags.,
011KUT020010,Kitchen Utensils,B,500,500,RGBA,011KUT020010.webp,True,1.22,70.02,28.76,,PIL-normalized — auto-approve unless visual QA flags.,
011KUT020012,Kitchen Utensils,B,500,500,RGBA,011KUT020012.webp,True,0.87,87.1,12.03,,PIL-normalized — auto-approve unless visual QA flags.,
011KUT020013,Kitchen Utensils,B,500,500,RGBA,011KUT020013.webp,True,0.96,78.86,20.18,,PIL-normalized — auto-approve unless visual QA flags.,
011KUT020016,Kitchen Utensils,B,500,500,RGBA,011KUT020016.webp,True,1.03,84.27,14.69,,PIL-normalized — auto-approve unless visual QA flags.,
055LPR040005,Laundry Solutions,B,500,500,RGBA,055LPR040005.webp,True,2.69,73.95,23.36,,PIL-normalized — auto-approve unless visual QA flags.,
055LPR040006,Laundry Solutions,B,500,500,RGBA,055LPR040006.webp,True,1.5,93.48,5.02,,PIL-normalized — auto-approve unless visual QA flags.,
143LPR030002,Laundry Solutions,B,500,500,RGBA,143LPR030002.webp,True,2.3,73.49,24.2,,PIL-normalized — auto-approve unless visual QA flags.,
143LPR011001,Laundry Solutions,B,500,500,RGBA,143LPR011001.webp,True,2.41,67.71,29.87,,PIL-normalized — auto-approve unless visual QA flags.,
055LPR040003,Laundry Solutions,B,500,500,RGBA,055LPR040003.webp,True,1.79,93.97,4.24,,PIL-normalized — auto-approve unless visual QA flags.,
055LPR040004,Laundry Solutions,B,500,500,RGBA,055LPR040004.webp,True,4.03,70.05,25.91,,PIL-normalized — auto-approve unless visual QA flags.,
055LPR040008,Laundry Solutions,B,500,500,RGBA,055LPR040008.webp,True,3.23,82.32,14.44,,PIL-normalized — auto-approve unless visual QA flags.,
143LPR020009,Laundry Solutions,B,500,500,RGBA,143LPR020009.webp,True,2.09,52.91,45.0,,PIL-normalized — auto-approve unless visual QA flags.,
055LPR040010,Laundry Solutions,B,500,500,RGBA,055LPR040010.webp,True,2.99,90.01,7.0,,PIL-normalized — auto-approve unless visual QA flags.,
143LPR021001,Laundry Solutions,B,500,500,RGBA,143LPR021001.webp,True,2.18,67.21,30.61,,PIL-normalized — auto-approve unless visual QA flags.,
011KUT020051,Spare Parts,B,500,500,RGBA,011KUT020051.webp,True,4.06,83.32,12.62,,PIL-normalized — auto-approve unless visual QA flags.,
000SPS020001,Spare Parts,D,598,598,RGB,000SPS020001.webp,True,1.77,88.14,10.08,0.56,AI-matted via remove.bg — visual QA recommended.,
000SPS020005,Spare Parts,D,560,560,RGB,000SPS020005.webp,True,2.34,88.95,8.71,1.11,AI-matted via remove.bg — visual QA recommended.,
000SPS020006,Spare Parts,D,560,560,RGB,000SPS020006.webp,True,2.19,86.19,11.62,0.48,AI-matted via remove.bg — visual QA recommended.,
000SPS020008,Spare Parts,D,702,727,RGB,000SPS020008.webp,True,2.17,51.77,46.07,0.66,AI-matted via remove.bg — visual QA recommended.,
000SPS020009,Spare Parts,D,702,709,RGB,000SPS020009.webp,True,1.12,60.67,38.21,0.57,AI-matted via remove.bg — visual QA recommended.,
000SPS020010,Spare Parts,D,702,627,RGB,000SPS020010.webp,True,1.8,60.05,38.15,0.54,AI-matted via remove.bg — visual QA recommended.,
000SPS020011,Spare Parts,C,225,225,RGB,,,,,,,Source below 500px floor — Lucide fallback at render time. Replace source if branded image needed.,
000SPS020012,Spare Parts,D,702,560,RGB,000SPS020012.webp,True,3.46,77.37,19.16,0.51,AI-matted via remove.bg — visual QA recommended.,
000SPS020013,Spare Parts,D,550,550,RGB,000SPS020013.webp,True,2.3,53.02,44.67,0.45,AI-matted via remove.bg — visual QA recommended.,
112FSR060022,Tableware,B,1080,1080,RGBA,112FSR060022.webp,True,0.84,95.56,3.6,,PIL-normalized — auto-approve unless visual QA flags.,
112FSR060056,Tableware,B,800,800,RGBA,112FSR060056.webp,True,1.58,92.8,5.62,,PIL-normalized — auto-approve unless visual QA flags.,
112FSR060017,Tableware,B,1080,1080,RGBA,112FSR060017.webp,True,1.56,91.88,6.56,,PIL-normalized — auto-approve unless visual QA flags.,
007TWD010005,Tableware,B,1080,1080,RGBA,007TWD010005.webp,True,1.0,94.95,4.05,,PIL-normalized — auto-approve unless visual QA flags.,
007TWD010006,Tableware,B,800,800,RGBA,007TWD010006.webp,True,1.42,95.37,3.21,,PIL-normalized — auto-approve unless visual QA flags.,
007TWD010007,Tableware,B,800,800,RGBA,007TWD010007.webp,True,0.92,93.5,5.58,,PIL-normalized — auto-approve unless visual QA flags.,
007TWD010008,Tableware,B,800,800,RGBA,007TWD010008.webp,True,1.42,95.37,3.21,,PIL-normalized — auto-approve unless visual QA flags.,
007TWD010009,Tableware,B,800,800,RGBA,007TWD010009.webp,True,1.58,92.8,5.62,,PIL-normalized — auto-approve unless visual QA flags.,
007TWD010010,Tableware,B,500,500,RGBA,007TWD010010.webp,True,1.03,91.68,7.3,,PIL-normalized — auto-approve unless visual QA flags.,
007TWD010012,Tableware,E,,,,,,,,,,Pipeline error — manual fix required.,download/open: 400 Client Error: Bad Request for url: https://fqabwolwhrtrygmhaipg.supabase.co/storage/v1/object/public/product-images/007TWD010012/007TWD010012_1.png%5D
